Source,Target,JourneyText,Jul-12,Aug-12,Sep-12,Oct-12,Nov-12,Dec-12,Jan-13,Feb-13,Weight
"Hyde Park Corner, Hyde Park","Hyde Park Corner, Hyde Park","Hyde Park Corner, Hyde Park to Hyde Park Corner, Hyde Park",277,1657,2027,1072,703,440,423,47,6646
"Black Lion Gate, Kensington Gardens","Black Lion Gate, Kensington Gardens","Black Lion Gate, Kensington Gardens to Black Lion Gate, Kensington Gardens",733,1976,1276,579,302,280,203,34,5383
"Albert Gate, Hyde Park","Albert Gate, Hyde Park","Albert Gate, Hyde Park to Albert Gate, Hyde Park",219,1286,1185,526,335,222,206,22,4001
"Speakers' Corner 1, Hyde Park","Speakers' Corner 1, Hyde Park","Speakers' Corner 1, Hyde Park to Speakers' Corner 1, Hyde Park",161,635,724,413,224,148,169,23,2497
"Palace Gate, Kensington Gardens","Palace Gate, Kensington Gardens","Palace Gate, Kensington Gardens to Palace Gate, Kensington Gardens",318,849,532,241,181,84,152,15,2372
"Black Lion Gate, Kensington Gardens","Palace Gate, Kensington Gardens","Black Lion Gate, Kensington Gardens to Palace Gate, Kensington Gardens",209,623,523,374,222,139,184,14,2288
"Speakers' Corner 2, Hyde Park","Speakers' Corner 2, Hyde Park","Speakers' Corner 2, Hyde Park to Speakers' Corner 2, Hyde Park",206,592,696,303,185,137,131,13,2263
"Knightsbridge, Hyde Park","Knightsbridge, Hyde Park","Knightsbridge, Hyde Park to Knightsbridge, Hyde Park",682,1166,148,80,23,40,17,2,2158
"Palace Gate, Kensington Gardens","Black Lion Gate, Kensington Gardens","Palace Gate, Kensington Gardens to Black Lion Gate, Kensington Gardens",200,549,458,268,185,124,143,14,1941
"Hyde Park Corner, Hyde Park","Albert Gate, Hyde Park","Hyde Park Corner, Hyde Park to Albert Gate, Hyde Park",122,446,581,280,187,92,113,14,1835
"Waterloo Station 3, Waterloo","Stonecutter Street, Holborn","Waterloo Station 3, Waterloo to Stonecutter Street, Holborn",77,229,226,234,308,241,336,13,1664
"Queen's Gate, Kensington Gardens","Queen's Gate, Kensington Gardens","Queen's Gate, Kensington Gardens to Queen's Gate, Kensington Gardens",144,562,323,175,128,90,87,7,1516
"Cumberland Gate, Hyde Park","Cumberland Gate, Hyde Park","Cumberland Gate, Hyde Park to Cumberland Gate, Hyde Park",98,531,531,141,87,44,57,5,1494
"Exhibition Road, South Kensington","South Kensington Station, South Kensington","Exhibition Road, South Kensington to South Kensington Station, South Kensington",37,144,269,335,297,188,216,7,1493
"Albert Gate, Hyde Park","Hyde Park Corner, Hyde Park","Albert Gate, Hyde Park to Hyde Park Corner, Hyde Park",55,370,464,242,138,84,105,10,1468
"Wellington Arch, Hyde Park","Wellington Arch, Hyde Park","Wellington Arch, Hyde Park to Wellington Arch, Hyde Park",0,200,430,352,106,213,117,2,1420
"Hyde Park Corner, Hyde Park","Black Lion Gate, Kensington Gardens","Hyde Park Corner, Hyde Park to Black Lion Gate, Kensington Gardens",43,334,382,220,137,98,123,3,1340
"Wormwood Street, Liverpool Street","Hop Exchange, The Borough","Wormwood Street, Liverpool Street to Hop Exchange, The Borough",74,260,272,236,207,132,153,4,1338
"Hop Exchange, The Borough","Stamford Street, South Bank","Hop Exchange, The Borough to Stamford Street, South Bank",68,236,187,175,306,152,200,0,1324
"Black Lion Gate, Kensington Gardens","Hyde Park Corner, Hyde Park","Black Lion Gate, Kensington Gardens to Hyde Park Corner, Hyde Park",51,287,410,185,126,129,122,7,1317
"West Smithfield Rotunda, Farringdon","Finsbury Circus, Liverpool Street","West Smithfield Rotunda, Farringdon to Finsbury Circus, Liverpool Street",17,207,248,261,250,123,193,6,1305
"Speakers' Corner 1, Hyde Park","Speakers' Corner 2, Hyde Park","Speakers' Corner 1, Hyde Park to Speakers' Corner 2, Hyde Park",117,339,381,185,98,88,81,12,1301
"Albert Gate, Hyde Park","Speakers' Corner 1, Hyde Park","Albert Gate, Hyde Park to Speakers' Corner 1, Hyde Park",53,260,346,220,173,113,104,19,1288
"South Kensington Station, South Kensington","Exhibition Road, South Kensington","South Kensington Station, South Kensington to Exhibition Road, South Kensington",27,177,209,255,230,150,211,8,1267
"Notting Hill Gate Station, Notting Hill","Turquoise Island, Notting Hill","Notting Hill Gate Station, Notting Hill to Turquoise Island, Notting Hill",31,145,264,234,226,140,188,22,1250
"Bayswater Road, Hyde Park","Bayswater Road, Hyde Park","Bayswater Road, Hyde Park to Bayswater Road, Hyde Park",182,499,228,101,50,98,41,12,1211
"Black Lion Gate, Kensington Gardens","Albert Gate, Hyde Park","Black Lion Gate, Kensington Gardens to Albert Gate, Hyde Park",38,266,339,196,135,133,94,10,1211
"Serpentine Car Park, Hyde Park","Serpentine Car Park, Hyde Park","Serpentine Car Park, Hyde Park to Serpentine Car Park, Hyde Park",167,412,330,128,56,30,50,11,1184
"Stonecutter Street, Holborn","Waterloo Station 3, Waterloo","Stonecutter Street, Holborn to Waterloo Station 3, Waterloo",90,233,199,165,191,129,151,9,1167
"Devonshire Square, Liverpool Street","Vaughan Way, Wapping","Devonshire Square, Liverpool Street to Vaughan Way, Wapping",60,191,200,202,194,136,166,4,1153
"Hyde Park Corner, Hyde Park","Speakers' Corner 1, Hyde Park","Hyde Park Corner, Hyde Park to Speakers' Corner 1, Hyde Park",44,202,324,185,163,109,104,17,1148
"Wormwood Street, Liverpool Street","Bankside Mix, Bankside","Wormwood Street, Liverpool Street to Bankside Mix, Bankside",74,208,215,203,161,90,142,7,1100
"Wapping Lane, Wapping","Nesham Street, Wapping","Wapping Lane, Wapping to Nesham Street, Wapping",0,104,239,195,210,179,163,10,1100
"Nesham Street, Wapping","Wapping Lane, Wapping","Nesham Street, Wapping to Wapping Lane, Wapping",0,101,249,200,204,166,165,13,1098
"Hyde Park Corner, Hyde Park","Serpentine Car Park, Hyde Park","Hyde Park Corner, Hyde Park to Serpentine Car Park, Hyde Park",27,270,386,178,98,62,68,3,1092
"Waterloo Station 3, Waterloo","Godliman Street, St. Paul's","Waterloo Station 3, Waterloo to Godliman Street, St. Paul's",49,162,183,193,192,113,183,7,1082
"Turquoise Island, Notting Hill","Notting Hill Gate Station, Notting Hill","Turquoise Island, Notting Hill to Notting Hill Gate Station, Notting Hill",19,111,234,186,210,142,161,12,1075
"Speakers' Corner 1, Hyde Park","Hyde Park Corner, Hyde Park","Speakers' Corner 1, Hyde Park to Hyde Park Corner, Hyde Park",45,238,272,163,119,113,101,14,1065
"Albert Gate, Hyde Park","Black Lion Gate, Kensington Gardens","Albert Gate, Hyde Park to Black Lion Gate, Kensington Gardens",57,251,291,193,116,76,62,3,1049
"Belgrove Street , King's Cross","Red Lion Street, Holborn","Belgrove Street , King's Cross to Red Lion Street, Holborn",50,176,169,173,173,103,174,8,1026
"Vaughan Way, Wapping","Watney Street, Shadwell","Vaughan Way, Wapping to Watney Street, Shadwell",45,129,206,191,174,118,153,6,1022
"Vaughan Way, Wapping","Devonshire Square, Liverpool Street","Vaughan Way, Wapping to Devonshire Square, Liverpool Street",58,157,158,182,166,121,170,10,1022
"Queen's Gate, Kensington Gardens","Black Lion Gate, Kensington Gardens","Queen's Gate, Kensington Gardens to Black Lion Gate, Kensington Gardens",146,299,176,147,126,72,52,1,1019
"Stamford Street, South Bank","Hop Exchange, The Borough","Stamford Street, South Bank to Hop Exchange, The Borough",34,139,89,156,263,151,186,0,1018
"Hop Exchange, The Borough","Wormwood Street, Liverpool Street","Hop Exchange, The Borough to Wormwood Street, Liverpool Street",66,185,236,172,136,80,116,8,999
"Speakers' Corner 1, Hyde Park","Albert Gate, Hyde Park","Speakers' Corner 1, Hyde Park to Albert Gate, Hyde Park",37,178,308,175,161,61,62,2,984
"Bankside Mix, Bankside","Waterloo Station 1, Waterloo","Bankside Mix, Bankside to Waterloo Station 1, Waterloo",51,196,177,206,146,81,114,5,976
"Hop Exchange, The Borough","Bankside Mix, Bankside","Hop Exchange, The Borough to Bankside Mix, Bankside",25,175,237,177,159,104,86,12,975
"Wren Street, Holborn","Taviton Street, Bloomsbury","Wren Street, Holborn to Taviton Street, Bloomsbury",15,39,47,309,253,147,157,7,974
"Watney Street, Shadwell","Vaughan Way, Wapping","Watney Street, Shadwell to Vaughan Way, Wapping",59,143,211,176,156,103,118,3,969
"Stonecutter Street, Holborn","Waterloo Station 1, Waterloo","Stonecutter Street, Holborn to Waterloo Station 1, Waterloo",77,171,160,149,176,64,161,3,961
"Bankside Mix, Bankside","Waterloo Station 3, Waterloo","Bankside Mix, Bankside to Waterloo Station 3, Waterloo",62,149,161,168,170,98,144,6,958
"Waterloo Station 3, Waterloo","Queen Victoria Street, St. Paul's","Waterloo Station 3, Waterloo to Queen Victoria Street, St. Paul's",54,152,149,141,159,115,178,3,951
