Rental Id,Billable Duration,Duration,Unique ID/Customer Record Number,Subscription Id,Bike Id,End Date,EndStation Id,EndStation Logical Terminal,EndStation Name,endStationPriority_id,Start Date,StartStation Id,StartStation Logical Terminal,StartStation Name,startStationPriority_id,EndHourCategory Id,StartHourCategory Id,BikeUserType Id
18943853,1048,1049,714785534,9118525,8983,06/01/2013 00:23,463,200093,"Thurtle Road, Haggerston",0,06/01/2013 00:05,189,1104,"Claremont Square, Angel",0,0,0,0
18952875,779,780,1970242901,136329,1498,06/01/2013 00:18,94,1070,"Bricklayers Arms, Borough",0,06/01/2013 00:05,134,1039,"Wapping High Street, Wapping",0,0,0,1
18948792,1267,1268,832704905,1336159,7093,06/01/2013 00:26,536,200024,"Queensbridge Road, Haggerston",0,06/01/2013 00:05,495,200252,"Bow Church Station, Bow",0,0,0,1
18956048,802,803,1422317561,7553121,975,06/01/2013 00:19,482,200052,"Thornfield House, Poplar",0,06/01/2013 00:05,537,200239,"Old Montague Street, Whitechapel",0,0,0,1
18949681,2181,2182,321994787,9116921,5529,06/01/2013 00:42,224,1150,"Whiteley's, Bayswater",0,06/01/2013 00:05,64,1028,"William IV Street, Strand",1,0,0,0
18958340,214,215,1828637125,8888530,6457,06/01/2013 00:09,237,3467,"Vaughan Way, Wapping",0,06/01/2013 00:06,115,1062,"Braham Street, Aldgate",0,0,0,1
18953422,156,156,797865812,120153,7429,06/01/2013 00:08,96,1047,"Falkirk Street, Hoxton",0,06/01/2013 00:06,31,3427,"Fanshaw Street, Hoxton",0,0,0,1
18949426,673,674,645198463,5060524,845,06/01/2013 00:17,78,3433,"Sadlers Sports Centre, Finsbury",0,06/01/2013 00:06,116,995,"Little Argyll Street, West End",1,0,0,1
18942869,693,693,1012600348,6611423,5359,06/01/2013 00:17,397,1227,"Devonshire Terrace, Bayswater",0,06/01/2013 00:06,129,3451,"Golden Square, Soho",0,0,0,1
18947325,251,252,518478918,4817400,6369,06/01/2013 00:10,450,200002,"Jubilee Street, Stepney",0,06/01/2013 00:06,205,3475,"New Road  2, Whitechapel",0,0,0,1
18950445,2135,2136,321994787,9116921,3438,06/01/2013 00:41,224,1150,"Whiteley's, Bayswater",0,06/01/2013 00:06,64,1028,"William IV Street, Strand",1,0,0,0
18942563,205,205,1350210653,53335,1666,06/01/2013 00:10,139,1078,"Lambeth Road, Vauxhall",0,06/01/2013 00:06,583,200231,"Abingdon Green, Great College Street",0,0,0,1
18957429,236,236,945164630,4850220,424,06/01/2013 00:10,450,200002,"Jubilee Street, Stepney",0,06/01/2013 00:06,205,3475,"New Road  2, Whitechapel",0,0,0,1
18954108,751,752,1629247242,7166178,5969,06/01/2013 00:19,531,200167,"Twig Folly Bridge, Mile End",0,06/01/2013 00:06,390,1223,"Buxton Street 1, Bangla Town",0,0,0,1
18949616,639,639,1906462089,7343526,627,06/01/2013 00:17,316,968,"Cardinal Place, Victoria",0,06/01/2013 00:06,260,3489,"Broadwick Street, Soho",0,0,0,1
18953794,1043,1043,1798848599,9049974,6297,06/01/2013 00:24,505,200038,"Ackroyd Drive, Bow",0,06/01/2013 00:06,32,1020,"Leonard Circus , Shoreditch",0,0,0,1
18951271,563,564,784388153,9118024,8772,06/01/2013 00:16,278,1142,"Tooley Street, Bermondsey",1,06/01/2013 00:07,115,1062,"Braham Street, Aldgate",0,0,0,0
18944426,151,151,875188148,6199120,7160,06/01/2013 00:09,330,1203,"Eastbourne Mews, Paddington",0,06/01/2013 00:07,186,1167,"South Wharf Road, Paddington",0,0,0,1
18947930,785,786,1169697833,9117356,7723,06/01/2013 00:20,510,200238,"Westferry DLR, Limehouse",1,06/01/2013 00:07,551,200066,"Montgomery Square, Canary Wharf",0,0,0,0
18950809,848,848,578406115,7571210,3570,06/01/2013 00:22,500,200148,"Sidney Street, Stepney",0,06/01/2013 00:08,516,200089,"Chrisp Street Market, Poplar",0,0,0,1
18948123,550,551,1833409550,7562624,1764,06/01/2013 00:17,316,968,"Cardinal Place, Victoria",0,06/01/2013 00:08,301,1152,"Marylebone Lane, Marylebone",0,0,0,1
